"","name","text"
"199","TRUMP","so my plan we re going to renegotiate trade deals we re going to have a lot of free trade we re going to have free trade more free trade than we have right now but we have horrible deals our jobs are being taken out by the deal that her husband signed one of the worst deals ever our jobs are being sucked out of our economy "
"200","TRUMP","you look at all of the places that i just left you go to pennsylvania you go to ohio you go to florida you go to any of them you go upstate new york our jobs have fled to mexico and other places we re bringing our jobs back "
"201","TRUMP","i am going to renegotiate and if i can t make a great deal then we re going to terminate and we re going to create new deals we re going to have trade but we re going we re going to terminate it we re going to make a great trade deal "
"202","TRUMP","and if we can t we re going to do it we re going to go a separate way because it has been a disaster we are going to cut taxes massively we re going to cut business taxes massively they re going to start hiring people we re going to bring the trillion"
"203","WALLACE"," time mr trump "
"204","TRUMP"," that s offshore back into the country we are going to start the engine rolling again because"
"205","WALLACE"," mr trump "
"206","TRUMP"," right now our country is dying at percent "
"207","CLINTON"," well let me translate that if i can chris because"
"208","TRUMP"," you can t "
"209","CLINTON"," the fact is he s going to advocate for the largest tax cuts we ve ever seen three times more than the tax cuts under the bush administration i have said repeatedly throughout this campaign i will not raise taxes on anyone making or less "
"210","CLINTON","i also will not add a penny to the debt i have costed out what i m going to do he will through his massive tax cuts add trillion to the debt "
"211","CLINTON","well he mentioned the debt we know how to get control of the debt when my husband was president we went from a billion deficit to a billion surplus and we were actually on the path to eliminating the national debt when president obama came into office he inherited the worst economic disaster since the great depression he has cut the deficit by two thirds "
"212","CLINTON","so yes one of the ways you go after the debt one of the ways you create jobs is by investing in people so i do have investments investments in new jobs investments in education skill training and the opportunities for people to get ahead and stay ahead that s the kind of approach that will work "
"213","WALLACE"," secretary"
"214","CLINTON"," cutting taxes on the wealthy we ve tried that it has not worked the way that it has been promised "
"215","WALLACE"," secretary clinton i want to pursue your plan because in many ways it is similar to the obama stimulus plan in which has led to the slowest growth since "
"216","TRUMP"," correct "
"217","WALLACE"," thank you sir "
"218","WALLACE","you told me in july when we spoke that the problem is that president obama didn t get to do enough in what he was trying to do with his stimulus so is your plan basically more even more of the obama stimulus "
"219","CLINTON"," well it s a combination chris and let me say that when you inherit the level of economic catastrophe that president obama inherited it was a real touch and go situation i was in the senate before i became secretary of state i ve never seen people as physically distraught as the bush administration team was because of what was happening to the economy "
"220","CLINTON","i personally believe that the steps that president obama took saved the economy he doesn t get the credit he deserves for taking some very hard positions but it was a terrible recession "
"221","CLINTON","so now we ve dug ourselves out of it we re standing but we re not yet running so what i am proposing is that we invest from the middle out and the ground up not the top down that is not going to work "
"222","CLINTON","that s why what i have put forward doesn t add a penny to the debt but it is the kind of approach that will enable more people to take those new jobs higher paying jobs we re beginning to see some increase in incomes and we certainly have had a long string of increasing jobs we ve got to do more to get the whole economy moving and that s what i believe i will be able to do "
"223","WALLACE"," mr trump even conservative economists who have looked at your plan say that the numbers don t add up that your idea and you ve talked about million jobs created percent"
"224","TRUMP"," over a year period "
"225","WALLACE"," growth is unrealistic and they say you talk a lot about growing the energy industry they say with oil prices as low as they are right now that s unrealistic as well your response sir "
"226","TRUMP"," so i just left some high representatives of india they re growing at percent china is growing at percent and that for them is a catastrophically low number "
"227","TRUMP","we are growing our last report came out and it s right around the percent level and i think it s going down last week as you know the end of last week they came out with an anemic jobs report a terrible jobs report in fact i said is that the last jobs report before the election because if it is i should win easily it was so bad the report was so bad "
"228","TRUMP","look our country is stagnant we ve lost our jobs we ve lost our businesses we re not making things anymore relatively speaking our product is pouring in from china pouring in from vietnam pouring in from all over the world "
"229","TRUMP","i ve visited so many communities this has been such an incredible education for me chris i ve gotten to know so many i ve developed so many friends over the last year and they cry when they see what s happened i pass factories that were thriving years ago and because of the bill that her husband signed and she blessed percent it is just horrible what s happened to these people in these communities "
"230","TRUMP","now she can say that her husband did well but boy did they suffer as kicked in because it didn t really kick in very much but it kicked in after they left boy did they suffer that was one of the worst things that s ever been signed by our country "
"231","TRUMP","now she wants to sign trans pacific partnership and she wants it she lied when she said she didn t call it the gold standard in one of the debates she totally lied she did call it the gold standard and they actually fact checked and they said i was right i was so honored "
"232","WALLACE"," i want you to give you a chance to briefly speak to that and then i want to pivot to one sixth of the economy"
"233","TRUMP"," and that will be as bad as "
"234","WALLACE"," which is obamacare but go ahead briefly "
"235","CLINTON"," well first let me say number one when i saw the final agreement for i said i was against it it didn t meet my test i ve had the same test does it create jobs raise incomes and further our national security i m against it now i ll be against it after the election i ll be against it when i m president "
